Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 
TV18 Broadcast Ltd.,Tv broadcasting & software production,0.59,12.8,0.59%,0.41%,0.28% (Jan 2019),0% (May 2018),4.07 L,2.03 L,Small Cap,17.13
Tech Mahindra Ltd.,Software telecom,0.58,12.6,0.58%,0.17%,0.27% (Nov 2018),0% (May 2018),15.09 k,5.67 k,Large Cap,69.94
Maruti Suzuki India Ltd.,Passenger/utility vehicles,1.36,11.9,0.55%,0.09%,0.55% (Apr 2019),0.55% (Apr 2019),1.79 k,0.30 k,Large Cap,69.94
#Steel Authority Of India Ltd.,Steel,4.4,11.2,0.52%,0.52%,0.52% (Apr 2019),0% (May 2018),2.00 L,2.00 L,Mid Cap,11.33
#J S W Steel Ltd.,Steel,4.4,11.1,0.51%,0.51%,0.43% (Oct 2018),0% (May 2018),36.00 k,36.00 k,Large Cap,69.94
#J S W Energy Ltd.,Power,0.48,10.5,0.48%,0.48%,0.48% (Apr 2019),0% (May 2018),1.50 L,1.50 L,Mid Cap,11.33
Bayer Cropscience Ltd.,Pesticides and agrochemicals,0.45,9.8,0.45%,0.69%,0.45% (Apr 2019),0% (May 2018),2.37 k,3.24 k,Mid Cap,11.33
IDFC First Bank Ltd.,Banks,23.57,8.4,0.39%,0.05%,0.39% (Apr 2019),0% (May 2018),1.70 L,0.00,Mid Cap,11.33
Yes Bank,Banks,23.57,6.1,0.00%,0.28%,,,,,Large Cap,69.94
Jain Irrigation Systems Ltd.,Plastic products,,8.8,0.00%,0.41%,,,,,Small Cap,17.13
Britannia Industries Ltd.,Consumer food,,6.2,0.00%,0.29%,,,,,Large Cap,69.94
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,1.36,7,0.00%,0.32%,,,,,Large Cap,69.94
Honeywell Automation India Ltd.,Industrial electronics,,21,0.00%,0.98%,,,,,Mid Cap,11.33
Sanofi India Ltd.,Pharmaceuticals,1.45,18.4,0.00%,0.85%,,,,,Mid Cap,11.33
