Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 
Indraprastha Gas Ltd.,Lpg/cng/png/lng supplier,2.02,134.5,2.02%,0.08%,1.07% (May 2018),1.07% (May 2018),4.30 L,0.00,Mid Cap,68.13
#Torrent Pharmaceuticals Ltd.,Pharmaceuticals,7.43,134.4,2.02%,2.02%,2.02% (Apr 2019),0% (May 2018),75.00 k,75.00 k,Large Cap,13.16
Ipca Laboratories Ltd.,Pharmaceuticals,7.43,133.4,2.00%,0.02%,0.5% (Dec 2018),0% (May 2018),1.40 L,0.00,Mid Cap,68.13
Piramal Enterprises Ltd.,Pharmaceuticals,7.43,124.3,1.87%,1.02%,0.7% (Jan 2019),0.7% (Jan 2019),52.63 k,31.76 k,Large Cap,13.16
Solar Industries India Ltd.,Explosives,1.86,123.9,1.86%,0.02%,1.78% (Feb 2019),1.78% (Feb 2019),1.15 L,0.00,Mid Cap,68.13
Orissa Cement Ltd.,Cement,3.99,123.3,1.85%,0.29%,1.57% (Mar 2019),0% (May 2018),1.07 L,0.00,Small Cap,15.37
Gujarat State Petronet Ltd.,Gas transmission/marketing,1.8,119.9,1.80%,0.11%,1.75% (Feb 2019),1.75% (Feb 2019),6.00 L,0.80 L,Mid Cap,68.13
Cholamandalam Investment & Finance Co. Ltd.,Nbfc,4.72,118.1,1.77%,0.05%,1.65% (Jan 2019),0% (May 2018),85.00 k,0.00,Mid Cap,68.13
#Supreme Industries Ltd.,Plastic products,1.75,116.4,1.75%,1.75%,1.75% (Apr 2019),0% (May 2018),1.02 L,1.02 L,Mid Cap,68.13
Future Consumer Ltd.,Retailing,8.98,113.3,1.70%,0.05%,1.7% (Apr 2019),1.7% (Apr 2019),26.50 L,0.00,Mid Cap,68.13
Navin Flourine International Ltd.,Chemicals  inorganic,1.69,112.3,1.69%,0.06%,1.63% (Feb 2019),1.63% (Feb 2019),1.67 L,0.00,Small Cap,15.37
Eris Lifesciences Ltd.,Pharmaceuticals,7.43,102.4,1.54%,0.00%,1.54% (Apr 2019),1.54% (Apr 2019),1.62 L,0.00,Mid Cap,68.13
Exide Industries Ltd.,Batteries – automobile,2.99,99.7,1.50%,0.00%,1.5% (Apr 2019),1.5% (Apr 2019),4.66 L,0.00,Mid Cap,68.13
Amara Raja Batteries Limited,Batteries – automobile,2.99,99.4,1.49%,0.10%,1.49% (Apr 2019),1.49% (Apr 2019),1.50 L,0.00,Mid Cap,68.13
Apollo Tyres Limited,Tyres & allied,1.46,96.8,1.46%,0.09%,1.46% (Apr 2019),1.46% (Apr 2019),4.70 L,0.00,Mid Cap,68.13
Sadbhav Engineering Ltd.,"Engineering, designing, construction",8.54,94.8,1.42%,0.04%,1.25% (Feb 2019),1.25% (Feb 2019),4.00 L,0.00,Small Cap,15.37
Brigade Enterprises Ltd.,Residential/commercial/sez project,1.34,89.1,1.34%,0.15%,1.09% (Oct 2018),1.09% (Oct 2018),4.01 L,0.00,Small Cap,15.37
Bayer Cropscience Ltd.,Pesticides and agrochemicals,5.28,82.2,1.24%,0.06%,1.24% (Apr 2019),1.24% (Apr 2019),20.00 k,0.00,Mid Cap,68.13
Tata Elxsi Ltd.,Computers  software,1.03,68.9,1.03%,0.02%,1.03% (Apr 2019),1.03% (Apr 2019),74.00 k,0.00,Small Cap,15.37
#Indian Bank,Banks,7.89,63.1,0.95%,0.95%,0.95% (Apr 2019),0% (May 2018),2.50 L,2.50 L,Mid Cap,68.13
Satin Creditcare Network Ltd.,Nbfc,4.72,57.3,0.86%,0.08%,0.58% (Nov 2018),0.58% (Nov 2018),1.74 L,0.00,Small Cap,15.37
NBCC (India) Ltd.,Construction civil,3.05,52.2,0.78%,0.10%,0.78% (Nov 2018),0.78% (Nov 2018),9.00 L,0.00,Mid Cap,68.13
CBLO,Other,,389.8,0.00%,5.75%,,,,,Small Cap,15.37
