Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 
I T D Cementation India Ltd.,Construction civil,4.6,14.4,2.19%,0.06%,1.43% (Nov 2018),1.43% (Nov 2018),1.17 L,0.00,Small Cap,98.63
Himatsingka Seide Ltd.,Fabrics and garments,2.82,13.8,2.10%,0.04%,1.78% (Feb 2019),1.78% (Feb 2019),64.49 k,0.00,Small Cap,98.63
Kennametal India Ltd.,Industrial equipment,2.08,13.7,2.08%,0.30%,1.22% (May 2018),1.22% (May 2018),11.40 k,0.00,Small Cap,98.63
Nrb Bearings Ltd.,Bearings,3.31,13.7,2.07%,0.04%,1.58% (May 2018),1.58% (May 2018),73.05 k,0.00,Small Cap,98.63
Century Plyboards India Ltd.,Plywood boards,1.97,13,1.97%,0.31%,1.97% (Apr 2019),1.97% (Apr 2019),74.80 k,0.00,Small Cap,98.63
PNC Infratech Ltd.,Construction civil,4.6,12.8,1.95%,0.05%,1.77% (Jun 2018),1.77% (Jun 2018),84.96 k,0.00,Small Cap,98.63
Ador Welding Ltd.,Electrodes,1.87,12.3,1.87%,0.03%,1.64% (Jun 2018),1.64% (Jun 2018),37.71 k,0.00,Small Cap,98.63
Rane Holdings Ltd.,Investment companies,1.84,12.1,1.84%,0.10%,1.66% (Jan 2019),1.66% (Jan 2019),10.00 k,0.00,Small Cap,98.63
DCB Bank Ltd.,Banks,4.19,11.6,1.76%,0.13%,1.27% (Jul 2018),1.27% (Jul 2018),54.70 k,0.00,Small Cap,98.63
Heritage Foods (india) Ltd.,Consumer food,1.76,11.6,1.76%,0.01%,1.68% (Feb 2019),1.68% (Feb 2019),22.31 k,0.00,Small Cap,98.63
Thyrocare Technologies Ltd.,Healthcare service providers,1.54,10.2,1.54%,0.07%,1.48% (May 2018),1.48% (May 2018),20.63 k,0.00,Small Cap,98.63
INOX Leisure Ltd.,"Flim production, distribution & exhibition",4.16,9.9,1.51%,0.02%,0.87% (Jul 2018),0.87% (Jul 2018),31.62 k,0.00,Small Cap,98.63
Johnson ControlsHitachi Air Conditioning India Ltd.,Air conditioner,5.49,9.2,1.40%,0.10%,1.39% (Aug 2018),1.39% (Aug 2018),4.99 k,0.00,Small Cap,98.63
PTC India Ltd.,Power trading,1.36,8.9,1.36%,0.02%,1.36% (Apr 2019),1.36% (Apr 2019),1.29 L,0.00,Small Cap,98.63
WPIL Ltd.,Compressors / pumps,2.59,8.8,1.34%,0.03%,1.17% (Jun 2018),1.17% (Jun 2018),10.78 k,0.00,Small Cap,98.63
Indostar Capital Finance Private Ltd.,Nbfc,1.27,8.4,1.27%,0.01%,1.05% (Oct 2018),1.05% (Oct 2018),21.03 k,0.00,Small Cap,98.63
Ksb Pumps Ltd.,Compressors / pumps,2.59,8.2,1.25%,0.01%,1.12% (May 2018),1.12% (May 2018),12.34 k,0.00,Small Cap,98.63
Timken India Ltd.,Bearings,3.31,8.2,1.24%,0.03%,1.18% (Nov 2018),1.18% (Nov 2018),14.88 k,0.00,Small Cap,98.63
Navneet Publications (india) Ltd.,Printing and publishing,1.42,6.6,1.01%,0.06%,0.94% (Jul 2018),0.94% (Jul 2018),59.71 k,0.00,Small Cap,98.63
Cyient Ltd.,It enabled services – software,0.98,6.4,0.98%,0.33%,0.98% (Apr 2019),0.98% (Apr 2019),10.90 k,2.83 k,Small Cap,98.63
Khadim India Ltd.,Leather and leather products,0.96,6.4,0.96%,0.14%,0.95% (Feb 2019),0.95% (Feb 2019),15.88 k,0.00,Small Cap,98.63
Take Solutions Ltd.,Computers  software,0.92,6.1,0.92%,0.02%,0.69% (Nov 2018),0.69% (Nov 2018),41.10 k,0.00,Small Cap,98.63
Premier Explosives Ltd.,Explosives,0.92,6.1,0.92%,0.05%,0.61% (Sep 2018),0.61% (Sep 2018),26.78 k,0.00,Small Cap,98.63
Salzer Electronics Ltd.,Consumer elctronics,0.9,5.9,0.90%,0.07%,0.84% (Mar 2019),0.84% (Mar 2019),49.04 k,0.00,Small Cap,98.63
Redington (India) Ltd.,Logistics solution provider,0.89,5.9,0.89%,0.03%,0.69% (Jan 2019),0% (May 2018),57.65 k,0.00,Small Cap,98.63
Capacite Infraprojects Ltd.,Residential/commercial/sez project,0.84,5.6,0.84%,0.03%,0.72% (Oct 2018),0.72% (Oct 2018),24.47 k,0.00,Small Cap,98.63
Mcleod Russel (India) Ltd.,Tea &  coffee,0.74,4.9,0.74%,0.26%,0.74% (Apr 2019),0.74% (Apr 2019),80.24 k,0.00,Small Cap,98.63
Dollar Industries Ltd.,Fabrics and garments,2.82,4.7,0.72%,0.02%,0.72% (Apr 2019),0.72% (Apr 2019),17.62 k,0.00,Small Cap,98.63
VA Tech Wabag Ltd.,"Engineering, designing, construction",9.19,4,0.60%,0.06%,0.56% (Dec 2018),0.56% (Dec 2018),13.88 k,0.00,Small Cap,98.63
Asian Granito India Ltd.,Sanitary ware,0.49,3.2,0.49%,0.12%,0.43% (Jan 2019),0.43% (Jan 2019),16.84 k,0.00,Small Cap,98.63
R.P.P. Infra Projects Ltd.,Construction civil,4.6,3,0.46%,0.10%,0.35% (Mar 2019),0.35% (Mar 2019),21.30 k,0.00,Small Cap,98.63
S Chand And Company Ltd.,Printing and publishing,1.42,2.7,0.41%,0.07%,0.41% (Apr 2019),0.41% (Apr 2019),18.00 k,0.00,Small Cap,98.63
Arrow Greentech Ltd.,Packaging,0.13,0.9,0.13%,0.04%,0.13% (Apr 2019),0.13% (Apr 2019),11.95 k,2.90 k,Small Cap,98.63
