Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 
Bajaj Holdings & Investment Ltd.,Nbfc,1.12,61.7,1.12%,0.08%,1.12% (Apr 2019),1.12% (Apr 2019),20.00 k,0.00,Large Cap,59.99
ITC Limited,Cigarettes,1.09,60.3,1.09%,0.04%,1.05% (Mar 2019),0% (May 2018),2.00 L,0.00,Large Cap,59.99
#Century Textile & Industries Ltd.,Cement,7.37,55,1.00%,1.00%,1% (Apr 2019),0% (May 2018),60.00 k,60.00 k,Small Cap,15.7
Vodafone Idea Ltd.  Rights,Telecom  services,1.38,53.1,0.96%,0.61%,0.35% (Mar 2019),0% (May 2018),34.34 L,0.00,Other,0.96
Trident Ltd.,Textiles,0.83,45.9,0.83%,0.05%,0.67% (Jul 2018),0.67% (Jul 2018),7.00 L,0.00,Small Cap,15.7
J. Kumar Infraprojects Ltd,Construction civil,0.81,44.6,0.81%,0.23%,0.41% (Jul 2018),0.41% (Jul 2018),3.70 L,0.00,Small Cap,15.7
Himatsingka Seide Ltd.,Fabrics and garments,0.77,42.8,0.77%,0.00%,0.64% (Feb 2019),0% (May 2018),2.00 L,0.00,Small Cap,15.7
NCC Ltd.,"Engineering, designing, construction",0.54,29.8,0.54%,0.85%,0.54% (Apr 2019),0.54% (Apr 2019),3.00 L,4.00 L,Small Cap,15.7
Great Eastern Shipping Co. Ltd.,Shipping,0.52,28.9,0.52%,0.08%,0.52% (Apr 2019),0.52% (Apr 2019),1.00 L,0.20 L,Small Cap,15.7
Vodafone Idea Ltd.,Telecom  services,1.38,23.2,0.42%,0.06%,0.42% (Apr 2019),0% (May 2018),15.00 L,0.00,Large Cap,59.99
Edelweiss Financial Services Ltd.,Stockbroking and allied,0.34,18.6,0.34%,1.05%,0.34% (Apr 2019),0.34% (Apr 2019),1.25 L,2.75 L,Mid Cap,17.27
Eveready Industries India Ltd.,Batteries,0.15,8.1,0.15%,0.19%,0.15% (Apr 2019),0.15% (Apr 2019),68.74 k,0.31 L,Small Cap,15.7
